region,year,tfr,share_pop_25_39,median_age,welfare_users,female_employment_rate,salary_avg_hourly,weddings_total,marriage_age_mean,housing_cost_ratio,employment_stability_ratio,childcare_places_per_100_children_0_2,youth_unemployment_rate_15_34
Valle d'Aosta/Vallée d'Aoste,2022,1.27,0.1515888456549935,49.0,,,,,,,,,
Valle d'Aosta/Vallée d'Aoste,2023,1.17,0.15116543490619672,49.0,,,,,,,,,
Valle d'Aosta/Vallée d'Aoste,2024,1.05,0.15054078468712614,50.0,,,,,,,,,
Veneto,2011,1.47,0.20053893695515582,43.0,23.5,,,426.3,32.45,12.5,,,
Veneto,2012,1.48,0.19331585684447616,44.0,23.2,,,441.0,32.56,12.2,,,
Veneto,2013,1.43,0.18699865242996155,44.0,23.8,,,410.6,32.87,12.5,,22.3,
Veneto,2014,1.42,0.18134900703506443,45.0,23.4,,13.68,410.6,33.1,12.7,,23.4,
Veneto,2015,1.39,0.175099445325366,45.0,24.0,,13.89,423.4,33.63,12.3,,24.0,
Veneto,2016,1.39,0.17021077779468077,45.0,25.9,,13.94,435.9,33.93,11.9,,25.2,
Veneto,2017,1.37,0.1661740768112532,46.0,24.7,,14.13,405.0,34.4,10.5,,25.8,
Veneto,2018,1.34,0.16333813842263042,46.0,24.8,43.304225,14.01,420.0,34.62,10.4,0.8301250863418503,27.0,11.336168
Veneto,2019,1.29,0.1610438132985573,47.0,24.6,43.875403,14.26,388.1,35.09,10.8,0.846676155072201,28.4,10.3084
Veneto,2020,1.28,0.1591071610468499,47.0,14.6,41.579428,14.35,221.3,36.08,10.7,0.8618261858432914,29.2,12.078346
Veneto,2021,1.3,0.15813775840224403,48.0,21.1,42.65878,14.63,363.3,35.95,11.4,0.8515273680701126,30.7,9.677784
Veneto,2022,1.26,0.15656289676952892,48.0,23.1,44.033522,14.7,399.5,36.3,10.9,0.8462817652617044,31.9,7.19052
Veneto,2023,1.21,0.15699055150031355,48.0,24.9,46.239175,,388.5,36.95,10.8,0.8660926046167462,33.8,7.377604
Veneto,2024,1.2,0.1577133004796159,49.0,,45.865782,,,,9.8,0.876190609388374,,5.587487
