FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,FULL_PART_TIME,Regime orario,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_FULL_PART_TIME,Regime orario (NOTE_FULL_PART_TIME),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2015,8.3,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2016,8.35,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2017,8.37,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2018,8.36,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2019,8.51,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2020,8.61,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2021,8.64,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2022,8.73,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2014,11.64,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2015,11.78,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2016,11.8,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2017,11.77,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2018,11.77,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2019,11.95,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2020,12.25,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2021,12.15,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_MED_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (mediana).,9,Totale,2022,12.21,,,,,TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1,Valore mediano della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
