FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,12.795204,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,11.552665,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,13.849115,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,9.480796,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,8.639263,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,6.901316,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,14.388905,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,14.053403,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,18.197355,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,15.858207,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,10.153832,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,11.410843,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,10.861617,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,22.60178,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,19.247258,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,16.962214,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,17.030623,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,16.81456,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,10.951576,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,11.684617,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,18.033096,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,16.385997,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,17.645009,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,16.387154,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,12.991688,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,11.21398,,
A,Annuale,ITC3,Liguria,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,11.209267,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,10.821859,,
