FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,POSIZ_PROF,Posizione professionale,PERM_TEMP_EMPLOYEES,Carattere occupazione dipendente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,3241.018,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,3339.49,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,9,Totale,2018,3500.477,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,9,Totale,2019,3551.504,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,9,Totale,2020,3451.444,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,9,Totale,2021,3497.395,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,9,Totale,2022,3580.781,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,9,Totale,2023,3635.446,,
A,Annuale,ITC4,Lombardia,9,Totale,1,Dipendenti,9,Totale,2024,3710.333,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,315.462,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,322.602,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,319.623,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,317.626,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,324.216,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,331.316,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,346.317,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,9,Totale,2018,393.328,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,9,Totale,2019,398.858,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,9,Totale,2020,386.01,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,9,Totale,2021,386.66,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,9,Totale,2022,398.796,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,9,Totale,2023,407.469,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,9,Totale,1,Dipendenti,9,Totale,2024,416.052,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,165.355,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,167.888,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,166.677,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,162.225,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,166.777,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,171.189,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,183.255,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,9,Totale,2018,201.145,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,9,Totale,2019,203.455,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,9,Totale,2020,197.448,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,9,Totale,2021,193.866,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,9,Totale,2022,201.569,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,9,Totale,2023,210.479,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,9,Totale,1,Dipendenti,9,Totale,2024,214.416,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,150.106,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,154.714,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,152.946,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,155.402,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,157.439,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,160.127,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,163.062,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,9,Totale,2018,192.183,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,9,Totale,2019,195.403,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,9,Totale,2020,188.562,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,9,Totale,2021,192.794,,
