FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE_ENTERPRISE,Età della impresa,TYPE_OF_CONTRACT,Tipologia contrattuale,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2012,20892.41,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2013,21712.86,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2014,20924.97,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2015,20386.44,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2016,18937.1,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2017,18358.67,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2012,26967.58,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2013,27926.67,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2014,27191.78,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2015,26507.64,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2016,24659.21,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2017,25049.34,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2012,21859.99,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2013,22648.63,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2014,21603.99,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2015,21377.63,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2016,22791.1,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2017,22803.3,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2012,27395.01,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2013,28279.51,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2014,27555.5,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2015,26921.87,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2016,28979.96,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2017,30004.66,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2012,128662.23,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2013,133652.37,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2014,139044.66,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2015,136939,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2016,142116.73,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2017,146151.96,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2012,156227.2,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2013,160858.17,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2014,167630.92,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2015,167800.64,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2016,174797.57,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2017,185136.41,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2012,193020.73,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2013,195995.91,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2014,198040.24,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2015,196705.51,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2016,204310.98,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2017,207689.14,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2012,240102.07,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2013,241873,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2014,245630.66,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2015,245842.25,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2016,255810.78,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2017,269512.49,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2012,4932.74,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2013,3989,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2014,3357.59,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2015,4397.3,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2016,5972.55,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2017,5811.83,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2012,6821.01,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2013,5631.28,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2014,5100.29,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2015,6227.3,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2016,8084.69,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2017,8462.06,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2012,7009.48,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2013,6412.05,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2014,6056.63,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2015,5870.98,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2016,5632.46,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2017,5679.76,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2012,9202.02,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2013,8191.71,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2014,8079.97,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2015,7844.09,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2016,7595.29,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2017,8195.68,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2012,10436,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2013,11415.52,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2014,11001.81,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2015,10881.19,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2016,10727.73,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2017,10881.24,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2012,13800.96,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2013,15124.08,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2014,14478.33,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2015,14247.12,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2016,13938.15,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2017,14589.69,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2012,11865.6,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2013,11714.42,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2014,11755.39,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2015,11646.72,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2016,11504.9,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2017,11235.62,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2012,15132.56,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2013,15092.52,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2014,15392.02,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2015,15220.79,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2016,15527.56,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2017,15615.14,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2012,67266.72,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2013,69801.28,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2014,77065.24,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2015,74159.48,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2016,77379.42,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2017,80344.83,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2012,82305.47,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2013,84159.88,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2014,93157.19,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2015,91750.39,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2016,96052.63,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2017,102987.27,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2012,101510.54,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2013,103332.27,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2014,109236.66,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2015,106955.67,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2016,111217.06,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2017,113953.28,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2012,127262.02,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2013,128199.47,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2014,136207.8,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2015,135289.69,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2016,141198.32,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2017,149849.84,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2012,2966.17,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2013,2806.41,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2014,3432.02,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2015,3804.76,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2016,4646.65,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2017,4587.22,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2012,4657.41,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2013,4281.72,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2014,4955.7,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2015,5107.21,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2016,6065.75,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2017,6557.96,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2012,6697.71,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2013,4774.59,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2014,3620.38,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2015,3929.4,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2016,4214.39,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2017,4296.4,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2012,8831.84,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2013,6703.94,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2014,5116.5,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2015,5433.5,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2016,5628.31,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2017,6106.38,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2012,10456.41,,
A,Annuale,ITD2,Provincia Autonoma Trento,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2013,10297.34,,
