FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo,TYPE_MANAGEMENT,Tipo di gestione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo (NOTE_TYPE_SOCIO_EDUC_SERVICE),NOTE_TYPE_MANAGEMENT,Tipo di gestione (NOTE_TYPE_MANAGEMENT),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNUR,Nidi e sezioni primavera,PCM,Privata senza riserva di posti da parte del comune,2023,23661475,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNUR,Nidi e sezioni primavera,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,73607311,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNUR,Nidi e sezioni primavera,ALL,Tutte le voci,2023,1714111429,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),CDNUR,Nidi,MDO,Comunale a gestione diretta,2023,955368353,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),CDNUR,Nidi,MMETP,Comunale a gestione affidata a terzi,2023,487888086,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),CDNUR,Nidi,PRPM,Privata con riserva di posti da parte del comune,2023,131507601,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),CDNUR,Nidi,PCM,Privata senza riserva di posti da parte del comune,2023,16763420,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),CDNUR,Nidi,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,67916560,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),CDNUR,Nidi,ALL,Tutte le voci,2023,1659444020,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNISC,Sezioni primavera,MDO,Comunale a gestione diretta,2023,26655066,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNISC,Sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,10201854,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNISC,Sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,5221683,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNISC,Sezioni primavera,PCM,Privata senza riserva di posti da parte del comune,2023,6898055,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNISC,Sezioni primavera,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,5690751,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),DNISC,Sezioni primavera,ALL,Tutte le voci,2023,54667409,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ISERIDC,Servizi integrativi per la prima infanzia,MDO,Comunale a gestione diretta,2023,10472033,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ISERIDC,Servizi integrativi per la prima infanzia,MMETP,Comunale a gestione affidata a terzi,2023,8146487,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ISERIDC,Servizi integrativi per la prima infanzia,PRPM,Privata con riserva di posti da parte del comune,2023,10238091,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ISERIDC,Servizi integrativi per la prima infanzia,PCM,Privata senza riserva di posti da parte del comune,2023,1602016,,,,,,,,,,,,,,,,,,
