FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2022,401.6,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2023,381.5,e,Dato stimato,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2004,575.4,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2005,571.1,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2006,579.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2007,585.5,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2008,578.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2009,542.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2010,510.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2011,492.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2012,509.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2013,456.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2014,450.4,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2015,488,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2016,498.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2017,471.5,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2018,473.3,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2019,451.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2020,236.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2021,436.6,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2022,468.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2023,449.8,e,Dato stimato,,,,,,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2004,34.61,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2005,35.83,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2006,35.65,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2007,35.7,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2008,35.97,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2009,36.55,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2010,36.67,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2011,36.92,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBRGR_FROM2017,Età  media al matrimonio sposi (tutte le età),2012,37.08,,,,,TIPO_DATO15__MAGEMBRGR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
